 	X	Y	Z	XM	YM	ZM
1	354.862	766.661	18.314	354.864	766.66	18.309
2	630.553	137.518	22.579	630.542	137.521	22.568
3	642.876	162.691	19.006	642.877	162.691	18.995
4	455.053	848.229	21.371	455.051	848.228	21.354
5	744.934	145.989	24.275	744.934	145.988	24.272
7	663.056	931.327	28.423	663.056	931.325	28.408
9	1196.78	563.697	38.288	1196.781	563.698	38.286
10	1095.805	214.095	45.455	1095.802	214.097	45.457
11	1148.2	336.959	44.255	1148.199	336.96	44.254
